year;unit_id;unit_name;admin_parent;unit_type;total_boundary_km;coast_pct;river_pct;lake_pct;watershed_flowing_pct;watershed_endo_pct;wetland_pct;unexplained_physical_pct;match_2021_pct;match_mo_pct;admin_memory_pct;rail_pct;geometric_candidate_pct;dominant_physical_origin;dominant_physical_label
1700;adm_1700_001;Туруханский уезд;Уездная сеть Сибири;уезд;15821.358;64.67;7.9;0.19;21.36;0.0;1.07;4.8;6.65;46.19;52.22;0.0;2.65;coastline;береговая линия
1700;adm_1700_002;Берёзовский уезд;Уездная сеть Сибири;уезд;9104.143;61.55;5.27;0.22;27.02;0.0;4.72;1.21;76.12;1.87;76.68;0.19;1.1;coastline;береговая линия
1700;adm_1700_003;Енисейский уезд;Уездная сеть Сибири;уезд;4067.5;0.0;29.5;1.97;49.11;0.0;0.0;19.42;2.51;27.46;29.47;0.0;14.5;watershed_flowing;водораздел сточных бассейнов
1700;adm_1700_004;Илимский уезд;Уездная сеть Сибири;уезд;2192.914;0.0;36.48;14.73;22.34;0.0;0.0;26.45;0.0;26.52;26.52;0.0;13.68;river;река
1700;adm_1700_005;Иркутский уезд;Уездная сеть Сибири;уезд;833.629;0.0;25.63;13.2;49.18;0.0;0.0;12.0;0.0;36.73;36.73;0.0;2.4;watershed_flowing;водораздел сточных бассейнов
1700;adm_1700_006;Тобольский уезд;Уездная сеть Сибири;уезд;1958.973;0.0;32.67;1.02;49.01;0.0;9.7;7.61;17.17;27.24;33.47;0.7;6.59;watershed_flowing;водораздел сточных бассейнов
1700;adm_1700_007;Нарымский уезд;Уездная сеть Сибири;уезд;1548.084;0.0;52.32;0.0;37.99;0.0;4.52;5.17;13.06;18.43;22.51;0.0;4.52;river;река
1700;adm_1700_008;Кетский уезд;Уездная сеть Сибири;уезд;1048.968;0.0;25.74;0.0;60.91;0.0;1.91;11.44;18.11;7.34;23.76;0.38;7.63;watershed_flowing;водораздел сточных бассейнов
1700;adm_1700_009;Сургутский уезд;Уездная сеть Сибири;уезд;2669.396;0.0;27.72;0.37;54.67;0.0;8.99;8.24;17.3;5.73;21.93;0.15;4.87;watershed_flowing;водораздел сточных бассейнов
1700;adm_1700_010;Пелымский уезд;Уездная сеть Сибири;уезд;1511.886;0.0;39.81;1.32;46.3;0.0;7.94;4.63;7.99;13.24;18.07;0.57;1.32;watershed_flowing;водораздел сточных бассейнов
1700;adm_1700_011;Туринский уезд;Уездная сеть Сибири;уезд;574.013;0.0;12.19;0.0;68.64;0.0;0.0;19.16;0.0;21.83;21.83;1.93;10.45;watershed_flowing;водораздел сточных бассейнов
1700;adm_1700_012;Верхотурский уезд;Уездная сеть Сибири;уезд;1753.631;0.0;38.78;1.14;40.13;0.0;0.0;19.96;2.02;9.7;11.72;2.68;14.83;watershed_flowing;водораздел сточных бассейнов
1700;adm_1700_013;Тюменский уезд;Уездная сеть Сибири;уезд;1679.431;0.0;35.69;2.98;39.89;0.0;1.79;19.65;9.83;33.31;37.6;3.9;10.72;watershed_flowing;водораздел сточных бассейнов
